Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Printings Artists	Amy Weber & Tom Wänerstrand	1	0	88.17	0	1	26.49	0	0	0.00
Printings Artists	Tyler Jacobson	44	15	3899.87	30	14	2669.47	15	15	1566.86
Printings Artists	Yang Jun Kwon	2	3	193.09	0	2	52.95	0	0	0.00
Printings Artists	Dom!	1	3	173.27	1	0	80.83	1	0	88.77
Printings Artists	Aaron Boyd	1	4	136.67	1	0	62.25	0	1	33.29
Printings Artists	Doug Keith	3	1	277.35	2	1	162.52	0	2	66.33
Printings Artists	Shelly Wan	10	8	1024.30	6	4	497.75	4	2	377.65
Printings Artists	Khang Le	1	3	196.93	1	0	53.98	0	1	43.42
Printings Artists	Marc Fishman	4	9	423.37	2	2	202.28	1	1	79.98
Printings Artists	Dermot Power	11	11	1029.28	7	4	639.16	6	1	459.12
Printings Artists	Matt Cavotta &amp; Richard Whitters	0	1	40.92	0	0	0.00	0	0	0.00
Printings Artists	Ku Xueming	1	1	99.78	1	0	66.33	1	0	82.35
Printings Artists	Paolo Parente	57	95	6654.33	27	30	2688.26	9	18	1118.58
Printings Artists	Diana Vick	0	1	11.00	0	0	0.00	0	0	0.00
Printings Artists	Thomas M. Baxa	47	62	5122.04	21	26	2253.80	7	14	916.95
Printings Artists	Min Yum	28	19	2643.00	15	13	1610.33	10	5	859.61
Printings Artists	Tony Szczudlo	32	40	3356.09	16	16	1599.15	9	7	868.10
Printings Artists	Justin Sweet	33	32	3158.14	18	15	1727.57	7	11	818.98
Printings Artists	Zoltan Boros	40	27	3867.46	25	15	2282.35	16	9	1264.54
Printings Artists	Li Yousong	2	2	170.88	0	2	61.58	0	0	0.00
Printings Artists	Jeff Reitz	0	1	49.77	0	0	0.00	0	0	0.00
Printings Artists	Scott Hampton	8	10	903.36	5	3	415.98	2	3	207.72
Printings Artists	Greg Hildebrandt	36	33	3436.20	15	21	1792.34	9	6	863.97
Printings Artists	Rebecca “Don't Mess with Me” Guay	1	0	65.47	0	1	39.67	0	0	0.00
Printings Artists	D. Alexander Gregory & Jeremy Jarvis	1	0	93.71	1	0	91.25	1	0	69.33
Printings Artists	Patrick Faricy	1	2	122.93	1	0	83.62	1	0	80.74
Printings Artists	Stuart Beel	0	2	56.44	0	0	0.00	0	0	0.00
Printings Artists	Jiaming	0	4	101.91	0	0	0.00	0	0	0.00
Printings Artists	Ron Walotsky	2	2	218.01	1	1	100.89	1	0	76.34
Printings Artists	Douglas Shuler	44	75	5244.74	27	17	2338.79	13	14	1449.39
Printings Artists	Matt Thompson	10	13	990.16	4	6	480.11	1	3	161.47
Printings Artists	Karla Ortiz	11	6	1028.43	9	2	787.11	5	4	482.62
Printings Artists	Liu Shangying	1	2	132.87	0	1	22.39	0	0	0.00
Printings Artists	Johann Bodin	40	33	3626.70	22	18	2095.28	9	13	1064.69
Printings Artists	John Severin Brassell	13	9	1148.50	11	2	790.93	5	6	506.44
Printings Artists	NéNé Thomas & Phillip Mosness	0	1	48.24	0	0	0.00	0	0	0.00
Printings Artists	Mark Evans	1	1	117.84	0	1	40.76	0	0	0.00
Printings Artists	Ioan Dumitrescu	1	0	63.01	0	1	45.29	0	0	0.00
Printings Artists	Trevor Hairsine	20	6	1576.03	9	11	969.02	3	6	386.04
Printings Artists	Inoue Junichi	0	3	77.85	0	0	0.00	0	0	0.00
Printings Artists	Luca Zontini	34	29	3100.52	13	21	1351.17	7	6	664.35
Printings Artists	Tianhua X	4	0	272.61	2	2	162.18	1	1	116.57
Printings Artists	Mike Kerr	4	1	326.67	1	3	127.89	1	0	55.72
Printings Artists	Shishizaru	13	11	1160.28	6	7	615.97	2	4	269.64
Printings Artists	Paolo Parente & Brian Snõddy	1	0	63.07	0	1	37.73	0	0	0.00
Printings Artists	Kaja Foglio	27	33	2842.10	16	12	1620.17	12	4	987.56
Printings Artists	Tom Kyffin	5	11	590.90	3	2	260.36	2	1	161.52
Printings Artists	Sam Wood	10	8	933.67	4	6	480.31	3	1	222.41
Printings Artists	Chris Rallis	20	19	2014.69	9	11	937.09	1	8	226.99
Printings Artists	Greg Spalenka	3	2	285.58	0	3	96.04	0	0	0.00
Printings Artists	John Howe	3	9	477.30	2	1	188.20	0	2	71.21
Printings Artists	Peter Mohrbacher	33	14	3025.28	19	14	1947.37	11	8	1083.63
Printings Artists	Aleksi Briclot	57	19	5218.74	46	11	3900.53	34	12	2984.58
Printings Artists	Bob Eggleton	12	6	1082.39	7	5	624.49	2	5	302.56
Printings Artists	Mike Kimble	4	15	593.92	0	4	91.54	0	0	0.00
Printings Artists	Whit Brachna	8	1	594.46	4	4	379.65	3	1	224.38
Printings Artists	Brandon Kitkouski	22	11	1862.94	9	13	872.60	6	3	551.90
Printings Artists	Terry Springer	3	0	249.76	3	0	216.90	3	0	245.30
Printings Artists	Ariel Olivetti	2	0	163.70	1	1	112.10	1	0	76.63
Printings Artists	G. Darrow & I. Rabarot	2	4	265.73	1	1	119.80	1	0	79.79
Printings Artists	Fred Rahmqvist	1	0	78.29	0	1	21.05	0	0	0.00
Printings Artists	Darek Zabrocki	7	4	582.24	3	4	383.13	0	3	95.15
Printings Artists	Victor Adame Minguez	14	7	1236.31	10	4	865.64	7	3	489.15
Printings Artists	Goran Josic	5	5	452.93	3	2	286.41	3	0	196.73
Printings Artists	Qin Jun	1	0	81.81	1	0	74.58	1	0	84.45
Printings Artists	Robh Ruppel	1	4	174.07	0	1	16.47	0	0	0.00
Printings Artists	Liz Danforth	9	22	1244.35	4	5	411.75	2	2	193.78
Printings Artists	Paul Lee	3	0	217.91	1	2	111.64	1	0	67.87
Printings Artists	Joel Thomas	5	7	502.10	2	3	197.51	1	1	124.85
Printings Artists	Jack Wei	2	1	149.59	1	1	118.23	1	0	51.29
Printings Artists	Kerstin Kaman	0	3	106.83	0	0	0.00	0	0	0.00
Printings Artists	Hiro Izawa	2	0	164.33	1	1	110.62	0	1	36.07
Printings Artists	Joshua Hagler	3	4	306.37	0	3	68.33	0	0	0.00
Printings Artists	Justin Norman	1	1	87.48	0	1	20.14	0	0	0.00
Printings Artists	Mark Winters	18	18	1859.23	10	8	930.13	4	6	498.11
Printings Artists	Colin MacNeil	6	6	569.72	2	4	259.91	2	0	166.17
Printings Artists	Rogério Vilela	0	2	20.78	0	0	0.00	0	0	0.00
Printings Artists	Doug Chaffee	21	26	2102.78	9	12	917.03	3	6	444.93
Printings Artists	Wang Chuxiong	1	0	83.02	1	0	86.27	1	0	84.66
Printings Artists	Iain McCaig	3	6	403.56	2	1	164.93	1	1	88.31
Printings Artists	Zoltan Boros & Gabor Szikszai	53	19	4278.92	31	22	2973.15	19	12	1689.30
Printings Artists	William Donohoe	2	1	145.65	1	1	77.78	0	1	41.44
Printings Artists	Chippy & Matthew Wilson	0	3	104.23	0	0	0.00	0	0	0.00
Printings Artists	Dameon Willich	10	16	1155.10	3	7	499.54	2	1	197.77
Printings Artists	Ai Desheng	3	3	260.95	0	3	88.57	0	0	0.00
Printings Artists	Parente & Brian Snõddy	1	0	63.07	0	1	37.73	0	0	0.00
Printings Artists	Jen Page	1	0	64.63	1	0	55.78	0	1	30.05
Printings Artists	Ron Spears	57	47	5401.70	30	27	3064.07	21	9	1805.79
Printings Artists	Hong Yan	0	3	72.62	0	0	0.00	0	0	0.00
Printings Artists	Nottsuo	8	5	743.89	3	6	444.11	2	1	184.01
Printings Artists	Jose Cabrera	0	2	66.76	0	0	0.00	0	0	0.00
Printings Artists	Ryan Yee	37	17	3129.55	22	15	2061.67	16	6	1218.61
Printings Artists	Eric Deschamps	83	24	7268.38	64	19	5362.14	40	24	3623.22
Printings Artists	Qiao Dafu	2	5	257.55	1	1	88.43	0	1	40.97
Printings Artists	Randy Elliott	2	16	600.67	0	2	78.94	0	0	0.00
Printings Artists	Hideaki Takamura	13	14	1437.57	8	5	709.26	6	2	411.21
Printings Artists	Christopher Burdett	1	8	213.28	0	1	14.16	0	0	0.00
Printings Artists	Alton Lawson	1	0	79.33	0	1	10.38	0	0	0.00
Printings Artists	Richard Wright	21	13	1997.67	13	8	1206.00	8	5	802.72
Printings Artists	Patrick Ho	1	3	116.25	0	1	31.44	0	0	0.00
Printings Artists	Clint Cearley	50	24	4364.37	24	26	2419.96	12	12	1206.74
Printings Artists	Vincent Evans	1	3	176.72	1	0	68.09	0	1	13.67
Printings Artists	Scott Kirschner	16	25	1776.28	10	6	827.11	4	6	432.87
Printings Artists	Henry Van Der Linde	2	5	253.01	0	2	56.16	0	0	0.00
Printings Artists	Evan Shipard	4	4	458.40	1	3	196.11	0	1	36.20
Printings Artists	Larry Elmore	3	6	403.83	2	1	184.09	2	0	155.50
Printings Artists	Slawomir Maniak	60	39	5575.40	32	28	3113.19	16	16	1723.11
Printings Artists	Brynn Metheney	1	0	77.11	1	0	76.23	0	1	49.84
Printings Artists	Efflam Mercier	0	2	55.20	0	0	0.00	0	0	0.00
Printings Artists	Ray Lago	10	17	1118.79	3	7	422.11	3	0	190.27
Printings Artists	Raf Sarmento	1	2	155.85	1	0	89.17	1	0	69.89
Printings Artists	Yefim Kligerman	4	2	376.96	1	3	178.93	0	1	39.98
Printings Artists	Ron Chironna	2	2	209.77	1	1	74.70	0	1	46.38
Printings Artists	Zhao Tan	1	1	93.64	0	1	25.17	0	0	0.00
Printings Artists	Dave DeVries	1	1	96.43	1	1	103.40	1	0	86.28
Printings Artists	Erica Gassalasca-Jape	2	0	115.69	0	2	25.13	0	0	0.00
Printings Artists	Rob Alexander	93	51	8280.42	63	31	5487.26	40	23	3303.70
Printings Artists	Darbury Stenderu	0	1	45.32	0	0	0.00	0	0	0.00
Printings Artists	Deruchenko Alexander	10	8	992.99	5	5	501.78	2	3	214.94
Printings Artists	Robbie Trevino	4	5	413.83	3	1	289.20	1	2	162.85
Printings Artists	L. A. Williams	11	17	1160.78	5	6	507.96	3	2	303.94
Printings Artists	Scott Chou	29	27	2878.76	15	14	1537.89	8	7	830.92
Printings Artists	April Lee	3	0	263.03	3	0	251.61	3	0	211.13
Printings Artists	Marco Nelor	18	10	1559.73	8	10	828.60	6	2	459.70
Printings Artists	Jason Chan	62	12	5336.39	45	17	4178.08	38	7	2902.13
Printings Artists	Ron Lemen	0	1	23.91	0	0	0.00	0	0	0.00
Printings Artists	John Matson	47	59	4671.40	17	30	2100.16	12	5	941.84
Printings Artists	James Zapata	10	6	829.99	4	6	518.23	3	1	227.59
Printings Artists	Craig J Spearing	15	16	1516.26	6	9	669.42	4	2	380.66
Printings Artists	Jon Foster	12	7	1168.52	6	6	613.53	3	3	299.80
Printings Artists	spork;	1	0	51.11	0	1	48.42	0	0	0.00
Card Sets/Printings	CPK	12	0	987.01	8	4	748.23	7	1	543.77
Card Sets/Printings	V09	13	0	1117.48	13	2	1160.12	13	0	985.42
Card Sets/Printings	PO2	45	110	5731.30	19	26	2183.02	14	5	1127.61
Card Sets/Printings	MRD	172	119	15878.14	100	72	8970.67	52	48	5001.82
Card Sets/Printings	DRK	32	87	4733.59	15	17	1424.51	7	8	798.50
Card Sets/Printings	BOK	71	94	7796.27	26	45	3199.73	16	10	1280.94
Card Sets/Printings	EXP	43	2	3364.41	39	4	3087.64	33	6	2524.23
Card Sets/Printings	DKA	84	74	8226.51	49	35	4578.68	28	21	2660.45
Card Sets/Printings	pWOR	1	0	77.02	0	1	30.31	0	0	0.00
Card Sets/Printings	pWOS	1	0	92.82	1	0	52.54	1	0	91.04
Card Sets/Printings	MIR	127	206	14398.74	56	73	5796.79	26	30	2817.20
Card Sets/Printings	HML	18	97	3988.18	3	15	582.49	3	0	209.69
Card Sets/Printings	VMA	224	90	19795.47	185	50	15698.77	143	42	12042.16
Card Sets/Printings	JOU	90	75	8613.87	41	49	4234.67	20	21	2140.79
Card Sets/Printings	RAV	174	117	16141.01	90	84	9223.64	44	46	4443.60
Card Sets/Printings	SOM	131	103	12538.03	76	55	6910.34	45	31	3961.95
Card Sets/Printings	pPRE	220	57	18979.13	152	68	13401.91	92	60	8291.56
Card Sets/Printings	WTH	63	104	7155.17	31	32	2940.00	15	16	1512.24
Card Sets/Printings	pPRO	5	0	433.26	5	0	391.61	4	1	313.29
Card Sets/Printings	8ED	169	173	17091.91	103	66	9541.97	66	37	5757.91
Card Sets/Printings	pREL	9	4	804.27	9	0	642.76	5	4	540.32
Card Sets/Printings	pMPR	50	3	4058.92	44	6	3611.60	34	10	2981.97
Card Sets/Printings	LEA	146	134	14814.90	110	46	9742.25	88	22	7393.18
Card Sets/Printings	pCMP	11	1	1001.09	10	1	842.23	8	2	651.91
Card Sets/Printings	CHK	147	143	14603.16	66	82	7191.72	34	32	3524.93
Card Sets/Printings	THS	131	103	12749.55	76	55	7198.22	40	36	4131.57
Card Sets/Printings	LEB	148	134	14962.63	111	47	9858.30	89	22	7476.71
Card Sets/Printings	SHM	164	122	15697.89	87	77	8168.38	43	44	4277.41
Card Sets/Printings	CHR	44	72	5228.29	25	19	2296.99	14	11	1308.75
Card Sets/Printings	TPR	134	120	12731.10	80	54	7436.61	53	27	4462.06
Card Sets/Printings	GPT	85	80	8464.59	48	37	4432.92	23	25	2332.26
Card Sets/Printings	BFZ	134	120	12868.24	66	68	6323.93	33	33	3129.28
Card Sets/Printings	BNG	82	83	8255.96	31	51	3825.76	11	20	1332.59
Card Sets/Printings	NPH	102	68	9789.52	61	41	5939.77	29	32	3240.86
Card Sets/Printings	pGTW	17	3	1450.68	16	1	1248.96	7	9	789.62
Card Sets/Printings	RQS	29	25	2727.37	17	12	1575.66	11	6	1017.43
Card Sets/Printings	W16	10	6	984.27	8	2	574.97	6	2	466.70
Card Sets/Printings	VIS	64	103	7287.86	24	40	2896.82	14	10	1342.25
Card Sets/Printings	APC	75	67	7239.13	39	37	3870.97	23	16	2060.31
Card Sets/Printings	DTK	117	137	12538.29	65	52	6183.65	36	29	3469.06
Card Sets/Printings	FUT	132	48	10966.38	80	52	7253.31	43	37	4102.02
Card Sets/Printings	PCY	44	99	5360.41	16	28	1840.29	6	10	596.15
Card Sets/Printings	EMA	196	53	16804.50	137	59	12523.75	102	35	8995.56
Card Sets/Printings	pWPN	23	20	2421.53	15	8	1427.59	9	6	806.67
Card Sets/Printings	5ED	183	251	19917.62	100	83	9667.63	69	31	5962.84
Card Sets/Printings	CMD	242	60	20332.76	157	86	14273.87	94	63	8907.17
Card Sets/Printings	TSB	81	40	7208.86	56	25	4853.82	32	24	2946.11
Card Sets/Printings	EVE	110	70	10052.66	58	52	5544.94	29	29	3036.89
Card Sets/Printings	EVG	37	19	3321.48	26	11	2250.06	13	13	1408.89
Card Sets/Printings	3ED	147	147	15309.07	97	52	8939.03	78	19	6497.84
Card Sets/Printings	PCA	100	36	8764.36	63	37	5738.48	34	29	3319.18
Card Sets/Printings	TSP	178	107	16215.30	107	72	9643.96	54	53	5483.23
Card Sets/Printings	CED	148	134	14962.63	111	47	9858.30	89	22	7476.71
Card Sets/Printings	PTK	50	119	6348.82	18	33	2042.37	13	5	1107.46
Card Sets/Printings	JUD	65	78	6544.10	26	39	3120.62	13	13	1297.81
Card Sets/Printings	UGL	25	62	3766.09	8	17	1135.50	5	3	495.01
Card Sets/Printings	DD2	38	18	3685.07	26	12	2483.29	22	4	1786.18
Card Sets/Printings	SCG	71	71	6995.99	36	36	3747.19	19	17	1844.83
Card Sets/Printings	ROE	138	95	13071.28	78	60	7298.46	36	42	3766.24
Card Sets/Printings	CEI	148	134	14962.63	111	47	9858.30	89	22	7476.71
Card Sets/Printings	10E	203	164	19759.98	132	72	11920.44	79	53	7589.98
Card Sets/Printings	pLGM	2	0	158.46	2	0	139.04	2	0	161.08
Card Sets/Printings	RTR	163	91	14514.00	94	69	9088.69	63	31	5469.59
Card Sets/Printings	M15	161	107	14806.12	86	76	8249.65	48	38	4503.38
Card Sets/Printings	pMEI	114	29	9657.36	80	35	7139.18	50	30	4531.86
Card Sets/Printings	DST	81	84	8147.61	45	36	4143.92	26	19	2446.74
Card Sets/Printings	p15A	2	0	179.32	2	0	168.39	1	1	98.15
Card Sets/Printings	DD3_GVL	41	16	3440.76	24	17	2241.09	15	9	1373.78
Card Sets/Printings	DDR	39	23	3533.82	21	18	2021.47	14	7	1136.33
Card Sets/Printings	DDQ	40	27	3889.54	23	17	2075.21	9	14	1109.08
Card Sets/Printings	DDP	44	23	4018.10	28	16	2579.43	17	11	1527.58
Card Sets/Printings	pJGP	89	1	7264.83	93	4	7868.86	83	10	6943.53
Card Sets/Printings	DDK	53	18	4639.55	30	23	3034.91	18	12	1705.00
Card Sets/Printings	DDJ	53	24	4870.91	38	16	3351.08	25	13	2274.01
Card Sets/Printings	DDI	42	28	3962.30	21	21	2219.59	14	7	1244.87
Card Sets/Printings	DDH	56	21	4991.67	39	17	3400.44	28	11	2373.68
Card Sets/Printings	DDO	39	19	3469.14	26	13	2442.00	14	12	1447.39
Card Sets/Printings	DDN	46	25	4250.37	30	16	2798.13	21	9	1826.52
Card Sets/Printings	DDM	54	22	4698.59	33	21	2964.28	21	12	1897.70
Card Sets/Printings	DDL	43	25	4030.85	24	19	2374.26	18	6	1511.14
Card Sets/Printings	DDC	34	22	3070.43	25	9	2142.00	14	11	1380.70
Card Sets/Printings	CST	24	28	2552.46	14	10	1319.24	10	4	937.04
Card Sets/Printings	DDG	46	26	3928.02	23	23	2236.69	12	11	1229.44
Card Sets/Printings	CSP	81	74	7815.45	37	44	3855.03	19	18	1709.52
Card Sets/Printings	DDE	49	17	4154.79	29	21	2775.18	18	11	1766.85
Card Sets/Printings	DDD	41	16	3440.76	24	17	2241.09	15	9	1373.78
Card Sets/Printings	DD3_EVG	37	19	3321.48	26	11	2250.06	13	13	1408.89
Card Sets/Printings	DD3_DVD	34	22	3070.43	25	9	2142.00	14	11	1380.70
Card Sets/Printings	PC2	100	36	8764.36	63	37	5738.48	34	29	3319.18
Card Sets/Printings	MOR	83	67	7904.85	34	49	3804.07	16	18	1718.32
Card Sets/Printings	INV	146	189	15406.13	65	81	6580.56	26	39	3059.94
Card Sets/Printings	pFNM	158	31	13498.53	139	20	11311.21	106	33	8909.57
Card Sets/Printings	AVR	120	114	11928.40	62	58	6181.15	32	30	3050.21
Card Sets/Printings	BTD	44	38	4267.18	33	11	2752.64	21	12	2007.07
Card Sets/Printings	MM3	186	62	16602.37	132	55	12158.44	90	42	7767.58
Card Sets/Printings	MPS	48	3	4194.16	48	1	4055.99	38	10	3247.37
Card Sets/Printings	LRW	156	130	15474.03	83	73	8244.31	44	39	4296.78
Card Sets/Printings	CM1	18	0	1402.82	15	3	1301.22	12	3	960.30
Card Sets/Printings	TMP	151	184	15617.19	82	69	7975.77	48	34	4428.09
Card Sets/Printings	OGW	92	91	9166.57	45	47	4678.02	22	23	2317.93
Card Sets/Printings	HOP	109	37	9125.78	73	36	6447.60	38	35	3828.73
Card Sets/Printings	pELP	5	0	419.09	5	0	384.05	5	0	400.80
Card Sets/Printings	ATH	50	31	4697.89	39	11	3228.24	26	13	2455.84
Card Sets/Printings	MM2	182	67	15583.81	122	60	10978.31	72	50	6832.68
Card Sets/Printings	CON	84	61	8166.79	47	37	4344.27	22	25	2230.62
Card Sets/Printings	ME4	119	138	12359.68	73	49	6931.87	60	13	4903.54
Card Sets/Printings	AER	3	4	332.48	2	1	151.38	2	0	131.11
Card Sets/Printings	ME3	84	130	9687.11	56	34	4974.62	36	20	3290.97
Card Sets/Printings	ATQ	34	50	3717.47	16	19	1644.72	13	3	970.40
Card Sets/Printings	DGM	87	69	8707.50	49	38	4574.68	20	29	2234.95
Card Sets/Printings	ISD	157	97	14657.90	92	65	8927.03	50	42	4825.00
Card Sets/Printings	ODY	153	182	15413.19	64	89	6999.02	35	29	3245.52
Card Sets/Printings	pALP	5	0	419.09	5	0	384.05	5	0	400.80
Card Sets/Printings	PD3	21	6	1918.66	20	1	1598.85	13	7	1252.24
Card Sets/Printings	PD2	25	6	2171.21	19	6	1637.92	16	3	1374.37
Card Sets/Printings	DDF	39	34	4064.87	23	16	2316.81	16	7	1370.54
Card Sets/Printings	pARL	37	9	2919.64	25	12	2399.58	20	5	1669.81
Card Sets/Printings	H09	31	10	2645.73	20	11	1856.37	12	8	1096.01
Card Sets/Printings	S99	54	104	6295.14	34	20	3001.06	22	12	1896.59
Card Sets/Printings	EMN	118	87	11150.35	63	55	5971.98	28	35	2998.77
Card Sets/Printings	FRF	103	76	9670.82	47	57	5126.33	25	22	2411.98
Card Sets/Printings	MGB	1	9	356.31	1	0	71.24	1	0	53.36
Card Sets/Printings	pLPA	27	3	2186.18	20	7	1742.46	11	9	1013.20
Card Sets/Printings	FEM	26	76	3729.37	7	19	1022.89	5	2	398.09
Card Sets/Printings	9ED	181	163	17911.33	114	67	10287.77	70	44	6377.06
Card Sets/Printings	pDRC	0	1	37.20	0	0	0.00	0	0	0.00
Card Sets/Printings	pMGD	40	10	3492.82	25	15	2289.87	15	10	1352.18
Card Sets/Printings	UNH	54	87	6043.97	21	33	2351.48	9	12	1070.57
Card Sets/Printings	2ED	148	134	14962.63	111	47	9858.30	89	22	7476.71
Card Sets/Printings	MD1	23	3	1956.03	22	1	1770.90	18	4	1576.73
Card Sets/Printings	5DN	86	78	8409.92	44	43	4372.43	19	25	2170.36
Card Sets/Printings	DRB	12	3	1066.97	9	3	779.48	8	1	659.92
Card Sets/Printings	MED	90	94	9254.17	56	35	5284.67	41	15	3540.81
Card Sets/Printings	ALL	49	95	5904.12	21	28	2208.54	11	10	1062.49
Card Sets/Printings	pGPX	10	1	896.03	9	1	840.33	9	0	686.35
Card Sets/Printings	PLS	74	67	7033.13	32	44	3488.40	19	13	1697.58
Card Sets/Printings	NMS	62	81	6216.87	22	40	2707.50	8	14	1002.18
Card Sets/Printings	LEG	84	221	11931.70	47	42	4574.19	26	21	2558.58
Card Sets/Printings	S00	25	28	2382.43	18	7	1380.16	14	4	1232.03
Card Sets/Printings	ZEN	140	94	12955.63	81	59	7511.62	45	36	4413.86
Card Sets/Printings	ALA	140	94	13064.31	78	62	7410.36	44	34	4189.98
Card Sets/Printings	M11	154	79	13939.86	111	44	9326.38	76	35	6631.01
Card Sets/Printings	M10	144	90	13352.82	97	47	8473.33	68	29	5897.36
Card Sets/Printings	M13	152	82	13938.99	86	66	8565.42	58	28	5179.43
Card Sets/Printings	M12	142	92	13637.33	93	49	8378.33	64	29	5423.40
Card Sets/Printings	PLC	103	61	9408.04	57	47	5426.00	29	28	2815.65
Card Sets/Printings	M14	137	96	12836.40	83	55	7514.84	46	37	4309.29
Card Sets/Printings	ORI	154	119	14831.43	94	60	8489.48	53	41	5021.95
Card Sets/Printings	MMA	162	66	14918.70	121	42	10658.60	85	36	7505.31
Card Sets/Printings	BRB	54	50	5403.93	34	21	3359.49	28	6	2390.07
Card Sets/Printings	ITP	29	28	2805.67	17	12	1575.66	11	6	1017.43
Card Sets/Printings	USG	163	166	16135.38	83	86	8684.15	49	34	4608.31
Card Sets/Printings	pSUS	12	6	1062.35	11	1	867.53	8	3	703.01
Card Sets/Printings	p2HG	1	0	81.08	1	0	62.59	1	0	65.24
Card Sets/Printings	TOR	65	78	6691.83	30	35	3037.99	12	18	1357.80
Card Sets/Printings	4ED	154	212	17039.13	91	65	8501.56	64	27	5586.35
Card Sets/Printings	GTC	143	106	13628.43	79	64	7693.99	35	44	3774.15
Card Sets/Printings	pGRU	5	0	419.09	5	0	384.05	5	0	400.80
Card Sets/Printings	DPA	66	35	6044.21	48	18	4135.57	29	19	2644.67
Card Sets/Printings	C13	244	97	21602.94	148	96	13747.58	83	65	8022.65
Card Sets/Printings	C16	293	48	24060.44	201	92	18052.75	123	78	11297.96
Card Sets/Printings	C15	258	69	22002.67	179	79	15773.39	104	75	9758.28
Card Sets/Printings	C14	255	67	22012.97	183	72	16071.94	114	69	10497.12
Card Sets/Printings	pWCQ	2	0	177.98	2	0	161.91	2	0	157.54
Card Sets/Printings	CN2	137	72	12351.63	74	63	7293.18	38	36	3846.71
Card Sets/Printings	SOI	172	115	15763.29	86	86	8338.12	37	49	3959.45
Card Sets/Printings	SOK	77	88	7814.40	31	46	3306.77	8	23	1208.87
Card Sets/Printings	POR	69	131	7924.36	36	33	3567.66	22	14	2045.31
Card Sets/Printings	pSUM	1	1	84.02	1	0	78.80	1	0	66.58
Card Sets/Printings	6ED	151	183	16439.19	91	61	8535.65	61	30	5328.06
Card Sets/Printings	ONS	163	172	16469.69	81	82	7936.20	38	43	4109.37
Card Sets/Printings	DIS	101	79	9698.34	50	51	4978.26	22	28	2350.51
Card Sets/Printings	MBS	89	61	8416.66	49	40	4870.33	32	17	2890.20
Card Sets/Printings	KLD	154	110	14400.93	78	76	7803.73	43	35	4066.18
Card Sets/Printings	pHHO	7	4	600.91	4	3	337.35	0	4	140.32
Card Sets/Printings	V11	13	2	1247.71	12	1	985.32	12	0	948.48
Card Sets/Printings	CNS	115	81	10892.26	64	52	6067.21	38	26	3448.87
Card Sets/Printings	STH	67	76	6522.54	34	33	3215.92	18	16	1691.00
Card Sets/Printings	ICE	120	252	14784.90	50	71	5823.80	33	17	2906.71
Card Sets/Printings	ME2	90	153	10394.90	34	58	4197.10	23	11	2037.90
Card Sets/Printings	KTK	146	107	13835.18	77	70	7709.97	42	35	4069.58
Card Sets/Printings	ULG	69	72	6979.06	31	40	3414.09	20	11	1756.07
Card Sets/Printings	DKM	28	16	2419.69	18	10	1587.25	12	6	1091.51
Card Sets/Printings	UDS	57	85	6169.16	28	30	2905.44	15	13	1518.24
Card Sets/Printings	LGN	63	82	6559.34	26	37	2747.65	11	15	1157.33
Card Sets/Printings	V12	12	3	1038.23	9	3	870.16	7	2	651.55
Card Sets/Printings	V13	19	1	1682.64	19	0	1621.68	17	2	1453.27
Card Sets/Printings	V10	15	0	1209.30	15	0	1189.98	11	4	1012.00
Card Sets/Printings	7ED	173	162	17083.71	105	68	9465.20	61	44	5610.03
Card Sets/Printings	V16	15	0	1212.67	12	3	1024.52	8	4	702.41
Card Sets/Printings	pPOD	3	3	242.68	1	2	115.25	1	0	51.27
Card Sets/Printings	V14	14	1	1088.72	11	3	966.26	10	1	808.51
Card Sets/Printings	V15	15	0	1265.01	14	1	1145.31	13	1	993.20
Card Sets/Printings	FRF_UGIN	18	8	1506.97	10	8	939.65	4	6	433.89
Card Sets/Printings	ARB	101	43	9018.26	63	39	5574.84	31	32	3084.09
Card Sets/Printings	ARC	107	34	9529.86	75	32	6412.36	46	29	4285.87
Card Sets/Printings	EXO	62	81	6329.46	30	32	3183.80	19	11	1593.03
Card Sets/Printings	WWK	101	44	8751.92	60	41	5556.50	30	30	3105.79
Card Sets/Printings	DD3_JVC	38	18	3685.07	26	12	2483.29	22	4	1786.18
Card Sets/Printings	MMQ	119	214	13995.12	38	82	5010.52	20	18	1911.86
Card Sets/Printings	ARN	29	49	3592.24	17	12	1542.01	8	9	903.03
